 LAMMPS data file for ring polymer of length 200
 
         200 atoms
         201 bonds
 
           2 atom types
           1 bond types
 
 Masses
 
           1   1.00000000    
           2   1.00000000    
 
 Atoms
 
         164           0           2   1.5601431051456889       -2.6745870329041272       -2.2732920549746320                0           0           0
         165           0           2   1.5412030049564174       -2.9521384602694059       -1.2297475256616728                0           0           0
         166           0           2   1.3733367361898847       -2.1133502819802423      -0.53044104409632808                0           0           0
         167           0           2   1.1086395699864571       -2.7468948249600187       0.10270295549772543                0           0           0
         168           0           2   1.9714998110134487       -3.1267946167079588       0.57967251321175317                0           0           0
         169           0           2   2.0595324402573949       -2.8656419223173129        1.7571063293493079                0           0           0
         170           0           2   1.0845192822430496       -3.3115059695582563        1.7819431257437806                0           0           0
         171           0           2   1.1753367907243206       -2.5846273791591825        1.0458037267918943                0           0           0
         172           0           2  0.44170778070400085       -2.1794623432699232       0.38288836752805000                0           0           0
         173           0           2   1.0885912265381554       -1.7575175806897072       0.82429326791596169                0           0           0
         174           0           2   1.8804027753471484       -2.0790687931514849       0.27347045511870260                0           0           0
         175           0           2   1.6365908995031626       -1.1524208818809669      -0.20140015692950328                0           0           0
         176           0           2  0.81457548023447357      -0.90420457817091981      -0.48412276732925802                0           0           0
         177           0           2  0.29073688418699706       -1.6844815102831299      -0.38797883555579665                0           0           0
         178           0           2  -6.4950277918563309E-002  -1.5162482692364585       -1.2797611984345447                0           0           0
         179           0           2  0.64948113034549659       -2.1979227202034393       -1.1412133746469462                0           0           0
         180           0           2  0.92309192999684597       -1.7703628035511245       -2.1855851005407163                0           0           0
         181           0           2   1.8934833519883743       -1.9029940993701631       -1.8944491098723835                0           0           0
         182           0           2   2.2063594247999769       -1.4950204660003128       -1.1122564134291177                0           0           0
         183           0           2   2.3211399981613550       -2.4901567707388557       -1.3060555748737976                0           0           0
         184           0           2   2.4481370432320868       -1.9812086710687542      -0.39978954466004335                0           0           0
         185           0           2   2.8013852131309558       -1.1384773618008286       0.19050504239495072                0           0           0
         186           0           2   2.5337260131913562       -1.0444672905815271        1.2173147762672110                0           0           0
         187           0           2   1.6846394287970412       -1.2484942511122388        1.7701720078771974                0           0           0
         188           0           2   1.3394182277978659       -1.9075440015834972        2.5973826605997128                0           0           0
         189           0           2  0.97005968747305094      -0.99828649923766721        2.1066387140782386                0           0           0
         190           0           2  0.85451950658918852      -0.86466408342917567        1.0865770091972222                0           0           0
         191           0           2   1.3006496154975855        5.1443594701258796E-002   1.3677852820407324                0           0           0
         192           0           2   2.2651664211328773      -0.15634421828980158        1.2034692811335708                0           0           0
         193           0           2   2.2415011468563151      -0.22014692213683712        2.2143436473392875                0           0           0
         194           0           2   3.1623791994398931       0.10991785086233424        2.0694856326324160                0           0           0
         195           0           2   3.2775420152170698      -0.76473189641079520        1.7463105648741621                0           0           0
         196           0           2   3.2761055942818729        4.7267307521611485E-002   1.2344695216137467                0           0           0
         197           0           2   3.6676318500702707      -0.67190495882301304       0.66754061582308477                0           0           0
         198           0           2   3.7988810965339930      -0.33124788518514903      -0.34187414054638443                0           0           0
         199           0           2   2.9768899998447789      -0.72406651884853923      -0.73589063736870808                0           0           0
         200           0           2   2.2816556056203758      -0.40431218284056530       -1.3206202100407056                0           0           0
 
 Velocities
 
           1           0           0           0
           2           0           0           0
           3           0           0           0
           4           0           0           0
           5           0           0           0
           6           0           0           0
           7           0           0           0
           8           0           0           0
           9           0           0           0
          10           0           0           0
          11           0           0           0
          12           0           0           0
          13           0           0           0
          14           0           0           0
          15           0           0           0
          16           0           0           0
          17           0           0           0
          18           0           0           0
          19           0           0           0
          20           0           0           0
          21           0           0           0
          22           0           0           0
          23           0           0           0
          24           0           0           0
          25           0           0           0
          26           0           0           0
          27           0           0           0
          28           0           0           0
          29           0           0           0
          30           0           0           0
          31           0           0           0
          32           0           0           0
          33           0           0           0
          34           0           0           0
          35           0           0           0
          36           0           0           0
          37           0           0           0
          38           0           0           0
          39           0           0           0
          40           0           0           0
          41           0           0           0
          42           0           0           0
          43           0           0           0
          44           0           0           0
          45           0           0           0
          46           0           0           0
          47           0           0           0
          48           0           0           0
          49           0           0           0
          50           0           0           0
          51           0           0           0
          52           0           0           0
          53           0           0           0
          54           0           0           0
          55           0           0           0
